DENSITY,GLASNO,SIO2,AL2O3,B2O3,CAO,K2O,NA2O,Li2O,MgO,ZRO2,FemOn,"Somme (Si, B, Na, Ca, Al, Zr, K, Li, Mg, Fe)"
2.2,20527,20.06,0,60.65,0,11.62,7.64,0,0,0,0,99.97
2.2,20528,19.83,0,59.95,0,14.87,5.33,0,0,0,0,99.98
2.2,20529,19.65,0,59.4,0,17.41,3.52,0,0,0,0,99.98
2.2,20530,19.47,0,58.86,0,19.91,1.74,0,0,0,0,99.98
2.19,20531,19.29,0,58.33,0,22.36,0,0,0,0,0,99.98
2.3,20532,13.59,0,63.02,0,0,23.37,0,0,0,0,99.98
2.3,20533,13.27,0,61.52,0,6.93,18.25,0,0,0,0,99.97
2.29,20534,12.96,0,60.1,0,13.55,13.37,0,0,0,0,99.98
2.28,20535,12.67,0,58.74,0,19.86,8.71,0,0,0,0,99.98
2.28,20536,12.53,0,58.08,0,22.92,6.46,0,0,0,0,99.99
2.28,20537,12.39,0,57.44,0,25.9,4.26,0,0,0,0,99.99
2.27,20538,12.25,0,56.81,0,28.82,2.1,0,0,0,0,99.98
2.27,20539,12.12,0,56.19,0,31.68,0,0,0,0,0,99.99
2.48,20540,68.22,0,14.68,0,0,17.09,0,0,0,0,99.99
2.49,20541,67.52,0,14.52,0,3.02,14.92,0,0,0,0,99.98
2.48,20542,66.82,0,14.38,0,5.98,12.8,0,0,0,0,99.98
2.48,20543,66.15,0,14.23,0,8.88,10.72,0,0,0,0,99.98
2.48,20544,65.32,0,14.05,0,12.43,8.18,0,0,0,0,99.98
2.48,20545,64.83,0,13.95,0,14.52,6.68,0,0,0,0,99.98
2.48,20546,64.2,0,13.81,0,17.25,4.73,0,0,0,0,99.99
2.47,20547,62.65,0,13.48,0,23.85,0,0,0,0,0,99.98
2.52,20548,60.28,0,14.64,0,0,25.07,0,0,0,0,99.99
2.51,20549,58.74,0,14.27,0,7.42,19.54,0,0,0,0,99.97
2.5,20550,57.29,0,13.91,0,14.48,14.29,0,0,0,0,99.97
2.51,20551,56.59,0,13.74,0,17.88,11.76,0,0,0,0,99.97
2.5,20552,55.9,0,13.58,0,21.2,9.3,0,0,0,0,99.98
2.5,20553,54.58,0,13.26,0,27.6,4.54,0,0,0,0,99.98
2.49,20554,53.95,0,13.1,0,30.69,2.24,0,0,0,0,99.98
2.48,20555,53.33,0,12.95,0,33.71,0,0,0,0,0,99.99
2.38,20570,79.92,0,0,0,0,13.19,6.88,0,0,0,99.99
2.43,20578,74.22,0,0,0,0,17.75,8.02,0,0,0,99.99
2.39,20587,77.83,0,0,0,6.1,16.05,0,0,0,0,99.98
2.45,20588,70.68,0,0,0,5.64,23.67,0,0,0,0,99.99
2.45,20589,67.48,0,0,0,18.62,13.88,0,0,0,0,99.98
2.41,20591,79.75,0,0,0,5.65,14.58,0,0,0,0,99.98
2.51,20592,70.06,0,0,9.99,5.54,14.39,0,0,0,0,99.98
2.47,20595,69.9,0,10.13,0,5.57,14.38,0,0,0,0,99.98
2.4,20596,71.89,7.68,0,0,5.62,14.79,0,0,0,0,99.98
2.64,20603,66.17,0,0,0,5.22,13.65,0,0,14.95,0,99.99
2.71,20604,62.28,0,0,0,4.94,12.83,0,0,19.94,0,99.99
2.69,20608,64.37,0,0,0,0,0,7.11,0,0,28.51,99.99
2.73,20609,63.16,0,0,0,0,3.61,5.23,0,0,27.97,99.97
2.72,20610,62.57,0,0,0,0,5.37,4.32,0,0,27.72,99.98
2.72,20611,62,0,0,0,0,7.1,3.42,0,0,27.46,99.98
2.76,20612,61.43,0,0,0,0,8.8,2.54,0,0,27.21,99.98
2.73,20613,60.88,0,0,0,0,10.46,1.68,0,0,26.96,99.98
2.72,20614,59.8,0,0,0,0,13.7,0,0,0,26.49,99.99
