DENSITY,GLASNO,"SOMME (SI, B, NA, CA, AL, ZR, K, LI, MG, FE)",Al_calc,O_calc,B_calc,Ca_calc,K_calc,Li_calc,Mg_calc,Na_calc,Si_calc,Zr_calc,Fe_calc
2.26,20428,99.97,0.0,55.49023050260601,13.213602413099684,0.0,4.77334971761009,0.0,0.0,6.320619302667032,20.169917532121694,0.0,0.0
2.26,20429,99.98,0.0,54.95352604717023,13.086279804653836,0.0,7.09776349314196,0.0,0.0,4.8665801203633485,19.973593885227345,0.0,0.0
2.25,20430,99.98,0.0,54.42228169018683,12.958957196207987,0.0,9.372368402055288,0.0,0.0,3.442215207086271,19.781944610878103,0.0,0.0
2.24,20431,99.98,0.0,53.64639798562625,12.775736857224937,0.0,12.701260987727718,0.0,0.0,1.3575978079672146,19.496807885626787,0.0,0.0
2.24,20432,99.99,0.0,53.14244346297969,12.654625107727666,0.0,14.876248163403968,0.0,0.0,0.0,19.31450735636775,0.0,0.0
2.32,20433,99.99,0.0,55.55108129184627,13.465142200517093,0.0,0.0,0.0,0.0,12.16645030090837,18.805000748951464,0.0,0.0
2.32,20434,99.98,0.0,54.18841260427506,13.13596667624246,0.0,5.935556605376025,0.0,0.0,8.375562432759482,18.342237866986217,0.0,0.0
2.31,20435,99.97,0.0,53.27041305648824,12.912375754093652,0.0,9.920265934859229,0.0,0.0,5.830993863728037,18.033729279009385,0.0,0.0
2.31,20436,99.98,0.0,52.640554170039096,12.760209709853493,0.0,12.69295950995796,0.0,0.0,4.0653748566449925,17.81870814193462,0.0,0.0
2.31,20437,99.98,0.0,52.143133725735225,12.63909796035622,0.0,14.859645207864451,0.0,0.0,2.6855213469078234,17.650430730310894,0.0,0.0
2.3,20438,99.98,0.0,51.657184641062415,12.521091640333239,0.0,16.984823516922162,0.0,0.0,1.3279235389406088,17.48682769123227,0.0,0.0
2.3,20439,99.98,0.0,51.179962729984574,12.406190749784546,0.0,19.068494437131086,0.0,0.0,0.0,17.32322465215365,0.0,0.0
2.45,20440,99.99,0.0,53.430604648391494,13.434087905774204,0.0,0.0,0.0,0.0,17.85649138676003,15.2665007323081,0.0,0.0
2.45,20441,99.98,0.0,52.12458543841494,13.10491238149957,0.0,5.918953649836511,0.0,0.0,13.932069307991416,14.897225301244923,0.0,0.0
2.45,20442,99.98,0.0,50.88007904021446,12.79126400459638,0.0,11.563958533271052,0.0,0.0,10.200529977895739,14.541972987817054,0.0,0.0
